iter	Passed	Remaining
0	1	131
1	2	120
2	3	116
3	4	107
4	5	107
5	7	121
6	9	120
7	10	116
8	11	114
9	12	111
10	13	109
11	14	107
12	15	105
13	16	103
14	18	102
15	19	99
16	20	98
17	22	101
18	23	99
19	24	98
20	25	96
21	26	94
22	27	92
23	28	91
24	30	90
25	31	88
26	32	87
27	33	85
28	34	84
29	35	83
30	37	83
31	38	81
32	39	80
33	40	78
34	42	78
35	43	76
36	44	75
37	45	73
38	47	73
39	49	74
40	52	75
41	52	72
42	53	71
43	55	70
44	56	68
45	57	67
46	58	65
47	59	64
48	60	63
49	61	61
50	62	60
51	63	58
52	65	57
53	66	56
54	67	55
55	68	54
56	69	52
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	44
63	77	43
64	78	42
65	80	41
66	82	40
67	83	39
68	84	37
69	85	36
70	86	35
71	87	34
72	88	32
73	90	31
74	91	30
75	92	29
76	93	27
77	95	26
78	96	25
79	97	24
80	98	23
81	99	21
82	100	20
83	101	19
84	102	18
85	103	16
86	104	15
87	106	14
88	107	13
89	108	12
90	110	10
91	111	9
92	112	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
